actor	actress
batman	batwoman
boar	sow
boy	girl
brother	sister
buck	doe
bull	cow
businessman	businesswoman
chairman	chairwoman
dad	mom
daddy	mommy
duke	duchess
emperor	empress
father	mother
fisherman	fisherwoman
fox	vixen
gentleman	lady
gentlemen	ladies
grandfather	grandmother
grandson	granddaughter
grandpa	grandma
groom	bride
god	goddess
he	she
he's    she's
headmaster	headmistress
heir	heiress
hero	heroine
him	her
his     hers
himself	herself
husband	wife
king	queen
landlord	landlady
lion	lioness
lord	lady
male	female
man	woman
manager	manageress
men	women
mister	miss
monk	nun
mr	mrs
nephew	niece
pa	ma
papa	mama
poet	poetess
policeman	policewoman
prince	princess
rooster	hen
sculptor	sculptress
sir	madam
son	daughter
steward	stewardess
stepfather	stepmother
superman	superwoman
tiger	tigress
uncle	aunt
waiter	waitress
widower	widow
wizard	witch
